Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "Revolve_A3.brd" as of: 10/16/18 1:59 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,0.976,1.537,270
C2,Top,1.140,1.640,0
C3,Top,1.114,0.748,180
C4,Top,1.203,0.677,270
C5,Top,2.819,3.557,90
C6,Top,2.811,3.415,270
C7,Top,1.584,0.750,180
C8,Top,1.686,0.677,270
C9,Top,2.531,0.751,180
C10,Top,2.625,0.677,270
C11,Top,3.006,0.748,180
C12,Top,2.323,1.624,0
C13,Top,2.947,2.283,270
C14,Top,3.144,1.770,180
C15,Top,0.737,1.078,90
C16,Top,3.099,0.677,270
C17,Top,3.187,2.219,90
C18,Top,2.890,2.986,0
C19,Top,0.988,3.402,0
C20,Top,0.278,0.949,90
C21,Top,3.329,1.266,0
C22,Top,1.177,2.524,90
C23,Top,1.427,0.961,90
C24,Top,2.882,1.459,180
C25,Top,2.750,1.890,90
C26,Top,0.698,2.413,90
C27,Top,3.447,1.545,0
C28,Top,1.211,1.073,270
C29,Top,2.106,1.400,180
C30,Top,1.901,0.963,90
C31,Top,1.793,1.685,180
C32,Top,1.680,1.070,270
C33,Top,1.113,0.890,0
C34,Top,1.293,3.230,180
C35,Top,1.160,0.677,270
C36,Top,1.051,1.441,270
C37,Top,1.586,0.887,0
C38,Top,1.638,0.677,270
C39,Top,2.059,0.751,180
C40,Top,2.145,1.069,90
C41,Top,0.679,1.114,90
C42,Top,0.808,0.404,0
C43,Top,3.128,2.366,0
C44,Top,2.846,0.959,90
C45,Top,1.059,2.416,90
C46,Top,0.930,2.414,90
C47,Top,0.918,1.537,90
C48,Top,0.974,1.749,0
C49,Top,3.156,2.455,90
C53,Top,3.327,0.957,90
C54,Top,3.102,1.069,270
C55,Top,3.006,0.886,0
C56,Top,3.055,0.677,270
C57,Top,0.465,2.705,90
C58,Top,0.464,2.090,90
C59,Top,0.465,1.424,90
C60,Top,3.006,0.802,180
C61,Top,2.535,3.537,270
C63,Top,2.372,0.961,90
C64,Top,2.157,0.677,90
C65,Top,2.061,0.887,0
C66,Top,2.109,0.678,270
C67,Top,2.620,1.069,270
C68,Top,2.530,0.885,0
C69,Top,2.583,0.677,270
C70,Top,2.530,0.802,180
C72,Top,1.113,0.803,180
C73,Top,1.585,0.802,180
C74,Top,2.062,0.802,180
C80,Top,0.975,1.835,0
C82,Top,2.449,3.713,270
C83,Top,2.804,3.739,180
C84,Top,0.956,0.960,90
C85,Top,0.730,0.674,90
C86,Top,0.640,0.890,0
C87,Top,0.640,0.801,180
C88,Top,0.640,0.747,180
C89,Top,1.154,1.107,90
C91,Top,1.620,1.104,90
C92,Top,2.091,1.101,90
C93,Top,2.568,1.097,90
C94,Top,1.753,0.404,0
C95,Top,1.280,0.404,0
C97,Top,2.226,0.404,0
C98,Top,2.696,0.411,0
C99,Top,0.684,0.677,270
C100,Top,3.039,1.101,90
C101,Top,3.171,0.411,0
C102,Top,0.457,3.274,90
C103,Top,0.807,2.412,90
C107,Top,1.138,2.524,90
C108,Top,1.784,1.509,180
C109,Top,1.739,1.546,180
C110,Top,2.325,1.746,0
C111,Top,2.326,1.792,0
C112,Top,2.322,1.483,0
C113,Top,2.108,1.904,0
C114,Top,2.323,1.525,0
C115,Top,2.109,1.862,0
C132,Top,3.052,3.473,90
C133,Top,1.285,3.393,180
C134,Top,1.499,3.487,90
C135,Top,1.319,3.495,90
C136,Top,1.293,3.270,180
C138,Top,2.237,2.029,270
C140,Top,2.642,2.270,0
C141,Top,2.642,2.312,0
C142,Top,2.642,2.353,0
C143,Top,2.671,2.421,0
C146,Top,1.920,2.948,0
C147,Top,1.805,2.949,180
C148,Top,1.205,3.237,270
C149,Top,1.212,3.415,90
C150,Top,1.452,3.141,270
C151,Top,1.097,2.524,90
C155,Top,3.120,2.533,90
C156,Top,3.016,2.251,270
C157,Top,3.015,2.177,90
D1,Top,0.364,1.317,180
D2,Top,0.354,1.917,180
D3,Top,0.348,2.587,180
D4,Top,0.355,3.150,180
D5,Top,0.754,1.407,180
EEPROM_WP,Top,1.811,2.055,0
IC1,Top,2.222,2.598,270
IC2,Top,2.992,2.453,0
IC6,Top,2.529,3.699,0
IC7,Top,2.904,3.645,0
IC29,Top,1.460,3.312,0
IC30,Top,2.331,2.322,90
J1,Top,0.793,2.126,270
JP1,Top,3.669,3.861,0
JP2,Top,0.133,0.315,0
L1,Top,0.710,1.675,90
L2,Top,1.188,3.511,0
L3,Top,2.293,1.871,0
LED0,Top,2.899,0.215,90
LED1,Top,0.465,2.807,180
LED2,Top,0.464,2.184,180
LED3,Top,0.466,1.542,180
LED4,Top,0.457,3.369,180
LED5,Top,3.116,0.215,90
LED6,Top,3.338,0.215,90
LED7,Top,3.555,0.215,90
LED8,Top,0.502,0.726,0
LED9,Top,3.848,0.860,270
LED10,Top,3.848,0.810,270
LED11,Top,3.848,0.762,270
LED12,Top,3.848,0.709,270
LED13,Top,3.848,0.656,270
PMIC_NRESET,Top,1.997,2.967,0
Q1,Top,0.336,2.194,270
Q2,Top,0.343,2.812,270
Q3,Top,0.340,1.536,270
Q4,Top,3.437,0.384,0
Q5,Top,3.576,0.383,0
Q6,Top,3.570,0.531,0
Q7,Top,3.439,0.532,0
Q8,Top,0.333,3.373,270
Q9,Top,0.764,2.683,0
Q10,Top,0.594,3.571,0
Q11,Top,0.728,3.571,0
Q12,Top,0.319,0.504,90
Q13,Top,0.862,3.573,0
Q14,Top,0.996,3.572,0
R1,Top,0.894,2.413,270
R2,Top,2.224,2.661,180
R3,Top,1.289,1.100,270
R4,Top,1.287,0.650,90
R5,Top,3.326,0.641,0
R6,Top,1.114,0.933,0
R7,Top,1.761,1.101,270
R8,Top,1.762,0.653,90
R9,Top,2.706,1.101,270
R10,Top,2.707,0.653,90
R11,Top,3.183,1.100,270
R12,Top,1.090,1.441,90
R13,Top,1.314,3.739,180
R14,Top,0.464,2.898,90
R15,Top,0.466,1.635,90
R16,Top,0.465,2.279,90
R17,Top,0.701,3.741,180
R18,Top,0.372,3.740,180
R19,Top,3.205,0.215,0
R20,Top,3.427,0.215,0
R21,Top,3.641,0.215,0
R22,Top,1.141,1.441,270
R23,Top,2.585,2.690,180
R24,Top,0.386,0.717,180
R25,Top,2.987,0.215,0
R26,Top,0.437,1.020,270
R27,Top,1.585,0.971,180
R28,Top,1.585,1.013,180
R29,Top,2.234,1.101,270
R30,Top,2.235,0.653,90
R31,Top,2.530,0.928,180
R32,Top,3.326,0.676,0
R33,Top,3.327,0.710,0
R34,Top,3.326,0.744,0
R35,Top,2.062,0.969,180
R36,Top,2.059,1.009,180
R37,Top,1.113,0.978,180
R38,Top,0.625,2.413,270
R39,Top,1.024,2.415,270
R40,Top,0.858,2.414,270
R41,Top,0.614,2.551,0
R42,Top,3.182,0.655,90
R43,Top,3.006,0.931,0
R44,Top,3.006,1.012,180
R45,Top,0.415,0.415,180
R46,Top,0.321,2.432,180
R47,Top,0.328,1.775,0
R48,Top,0.324,3.050,180
R49,Top,0.693,2.589,180
R50,Top,2.529,0.972,0
R51,Top,2.528,1.013,180
R52,Top,2.530,0.844,0
