Time,Voltage,current,temp
1,12.10,0.053,31.3
2,12.03,0.053,31.1
3,12.01,0.044,31.1
4,12.08,0.062,31.2
5,12.07,0.053,31.3
6,12.07,0.044,31.3
7,12.11,0.044,31.3
8,12.05,0.053,31.4
9,12.16,0.053,31.3
10,12.05,0.070,31.4
11,12.10,0.053,31.3
12,12.15,0.062,31.5
13,12.09,0.044,31.5
14,12.11,0.053,31.5
15,12.06,0.053,31.5
16,12.00,0.202,31.5
17,12.02,0.141,31.3
18,12.07,0.246,31.1
19,12.01,0.141,31.1
20,12.03,0.149,31.0
21,12.08,0.158,30.8
22,12.05,0.185,30.9
23,12.07,0.123,30.7
24,12.01,0.167,30.6
25,12.03,0.132,30.5
26,12.08,0.141,30.4
27,12.10,0.132,30.3
28,12.07,0.141,30.3
29,12.12,0.132,30.2
30,12.00,0.149,30.0
31,12.10,0.132,30.0
32,12.05,0.132,30.0
33,12.04,0.158,29.8
34,12.03,0.141,29.8
35,11.14,8.791,30.0
36,11.30,8.774,30.4
37,9.76,14.708,30.6
38,9.88,14.989,32.1
39,10.19,15.244,33.7
40,10.04,14.989,35.1
41,10.09,15.279,36.6
42,10.00,15.200,37.9
43,10.51,15.411,39.1
44,10.21,15.455,40.2
45,10.16,15.367,41.3
46,10.24,15.552,42.2
47,10.13,15.270,43.2
48,10.87,15.657,44.0
49,10.41,15.666,45.0
50,10.27,15.552,45.8
51,10.36,14.532,46.6
52,10.56,15.789,47.3
53,10.88,15.745,48.1
54,10.61,15.974,48.6
55,10.52,15.824,49.4
56,11.09,16.035,50.0
57,10.66,15.991,50.6
58,10.68,15.851,51.2
59,10.70,16.114,51.7
60,11.32,16.334,52.3
61,10.72,16.202,52.9
62,10.86,13.178,53.4
63,10.74,16.079,53.8
64,10.67,15.842,54.3
65,10.75,16.211,54.8
66,10.76,16.044,55.2
67,11.11,16.193,55.7
68,10.72,16.123,55.9
69,10.73,15.323,56.4
70,10.97,15.982,56.7
71,10.82,16.299,57.0
72,11.02,16.079,57.3
73,10.77,16.229,57.7
74,10.68,16.114,58.0
75,10.66,16.185,58.2
76,10.73,16.097,58.5
77,10.84,16.229,58.9
78,10.85,16.176,59.1
79,10.64,16.000,59.3
80,10.61,16.123,59.6
81,10.63,16.062,59.8
82,11.20,16.132,60.0
83,10.82,16.352,60.1
84,11.20,16.026,60.5
85,10.96,16.281,60.6
86,10.74,16.000,60.8
87,10.80,14.251,60.9
88,10.88,16.211,61.1
89,10.69,16.105,61.3
90,10.89,14.470,61.5
91,10.90,15.736,61.6
92,10.87,16.176,61.9
93,10.76,14.585,61.8
94,10.80,16.281,62.0
95,10.61,16.035,62.2
96,10.78,16.026,62.5
97,10.73,13.969,62.5
98,10.84,16.062,62.7
99,10.81,15.991,62.7
100,10.90,16.246,63.1
101,10.75,16.000,63.2
102,10.90,16.246,63.2
103,10.82,16.062,63.3
104,10.98,14.822,63.6
105,10.73,16.070,63.7
106,10.86,16.167,63.6
107,10.83,16.193,63.7
108,10.62,15.956,63.9
109,10.82,16.149,64.0
110,10.80,13.996,64.2
111,10.84,16.246,64.1
112,10.73,13.073,64.4
113,10.90,14.998,64.6
114,10.80,15.991,64.5
115,10.88,16.220,64.7
116,10.83,13.582,64.8
117,11.44,16.281,65.0
118,10.79,16.167,64.9
119,10.93,16.264,65.1
120,10.91,13.231,65.2
121,10.81,16.273,65.2
122,10.85,16.176,65.4
123,10.88,16.114,65.2
124,10.81,16.158,65.8
125,10.80,16.062,65.8
126,11.30,16.343,65.7
127,10.95,16.246,65.8
128,10.81,13.969,65.9
129,11.05,16.246,66.1
130,11.53,16.316,66.2
131,10.83,16.246,66.3
132,11.41,16.149,66.3
133,10.98,16.378,66.4
134,10.87,16.202,66.5
135,10.94,16.299,66.5
136,10.89,16.202,66.5
137,10.87,16.167,66.6
138,11.00,16.343,66.7
139,10.84,16.114,66.9
140,10.94,13.231,66.9
141,10.86,16.290,67.0
142,10.88,15.886,67.1
143,10.90,16.325,67.1
144,10.85,16.185,67.2
145,10.91,16.334,67.2
146,10.80,16.220,67.3
147,11.07,16.308,67.4
148,10.96,16.316,67.5
149,10.94,16.246,67.6
150,10.83,16.211,67.6
151,11.02,16.422,67.6
152,10.99,16.237,67.8
153,11.00,16.299,67.8
154,10.92,16.290,67.8
155,10.90,16.097,67.9
156,11.35,16.536,67.9
157,11.33,16.114,68.0
158,11.45,16.475,68.0
159,11.03,16.325,68.1
160,10.86,14.075,68.1
161,11.00,16.360,68.2
162,10.95,16.290,68.3
163,10.95,16.211,68.3
164,11.04,16.316,68.3
165,11.52,16.246,68.3
166,10.79,14.435,68.7
167,11.11,16.404,68.6
168,11.37,16.316,68.6
169,10.93,16.325,68.7
170,11.07,16.334,68.7
171,11.42,16.193,68.7
172,10.98,16.308,68.7
173,11.47,16.413,68.8
174,11.06,16.193,68.8
175,10.93,16.369,68.8
176,11.11,16.475,69.0
177,10.90,15.235,69.0
178,10.97,13.152,69.1
179,11.52,16.404,69.1
180,10.89,16.255,69.0
181,11.08,16.422,69.1
182,11.01,15.921,69.2
183,11.35,16.229,69.3
184,11.09,16.422,69.5
185,11.05,16.369,69.5
186,10.95,16.167,69.5
187,11.01,16.097,69.5
188,11.10,16.431,69.6
189,11.04,16.281,69.6
190,10.92,14.312,69.7
191,11.08,16.492,69.6
192,10.98,16.325,69.6
193,11.01,16.299,69.9
194,11.08,15.332,69.8
195,11.01,15.305,69.7
196,10.94,16.281,69.9
197,11.10,16.501,69.8
198,11.08,16.413,69.9
199,10.94,16.202,70.0
200,11.08,16.519,70.0
201,11.08,16.343,70.1
202,11.00,16.510,70.1
203,11.46,14.787,70.2
204,10.98,16.273,70.2
205,11.13,16.475,70.2
206,10.96,15.974,70.3
207,11.07,14.101,70.3
208,10.97,16.193,70.3
209,11.10,16.554,70.2
210,11.24,13.829,70.4
211,11.05,13.336,70.3
212,11.57,16.466,70.5
213,10.95,16.237,70.5
214,11.04,16.501,70.6
215,11.37,16.334,70.7
216,11.46,14.549,70.5
217,11.04,16.431,70.7
218,10.85,16.325,70.8
219,11.09,16.448,70.7
220,11.00,16.237,70.9
221,11.12,14.338,71.0
222,11.04,16.299,70.9
223,10.88,16.044,71.0
224,11.42,16.536,70.9
225,11.05,16.308,70.9
226,11.14,15.393,70.9
227,11.38,16.404,71.1
228,10.84,16.299,71.2
229,11.10,13.415,71.2
230,11.34,16.404,71.2
231,10.96,16.325,71.1
232,11.06,16.211,71.2
233,11.07,16.211,71.2
234,11.08,16.484,71.2
235,11.64,16.378,71.1
236,11.04,16.378,71.2
237,11.21,16.492,71.3
238,11.38,16.246,71.2
239,11.33,13.881,71.3
240,11.04,13.591,71.3
241,10.83,15.349,71.3
242,11.53,16.422,71.3
243,11.06,14.198,71.5
244,11.07,16.466,71.4
245,11.05,15.604,71.4
246,11.09,16.448,71.4
247,11.16,16.457,71.5
248,11.03,16.229,71.6
249,10.98,16.396,71.6
250,11.22,16.510,71.6
251,11.04,16.290,71.5
252,10.98,16.316,71.7
253,11.13,16.519,71.7
254,10.98,16.343,71.7
255,10.97,16.193,71.6
256,11.15,16.484,71.6
257,11.13,16.431,71.7
258,11.04,13.248,71.8
259,11.30,13.125,71.6
260,11.09,14.374,71.8
261,11.20,16.448,71.7
262,11.05,16.255,71.7
263,11.14,16.448,71.7
264,11.04,16.387,71.7
265,11.03,16.308,71.8
266,11.06,13.257,71.9
267,11.12,16.440,71.9
268,11.19,16.404,71.7
269,11.00,16.229,71.7
270,11.04,16.378,71.8
271,11.06,13.116,71.7
272,11.17,16.360,71.9
273,11.49,16.413,71.7
274,11.33,16.193,71.7
275,11.14,16.387,71.9
276,11.46,16.422,71.6
277,11.08,14.163,71.9
278,11.17,15.859,71.8
279,11.18,16.475,71.8
280,11.38,16.246,71.8
281,11.16,15.473,71.9
282,10.99,13.222,71.8
283,11.10,16.422,71.8
284,11.51,16.440,71.7
285,11.06,16.202,71.7
286,11.12,13.371,71.9
287,11.03,13.424,71.7
288,10.96,16.264,71.6
289,11.04,16.308,71.7
290,11.14,16.413,71.8
291,11.05,13.371,71.8
292,11.01,16.492,71.9
293,11.09,16.176,71.7
294,11.50,13.029,71.8
295,10.95,16.413,71.8
296,11.15,13.187,71.9
297,11.06,14.558,71.9
298,11.20,13.354,71.9
299,10.98,16.220,71.8
300,11.10,16.334,71.9
301,11.07,16.193,71.7
302,11.03,16.352,71.9
303,11.17,16.404,71.8
304,11.18,16.299,71.9
305,11.04,16.246,72.0
306,11.46,16.431,72.0
307,11.12,16.246,71.9
308,11.24,16.396,71.9
309,11.05,14.057,72.0
310,11.22,16.387,71.9
311,11.16,16.281,72.0
312,11.04,16.114,72.0
313,11.13,13.240,72.0
314,11.07,15.613,72.0
315,11.51,16.220,71.9
316,11.04,13.354,71.9
317,11.09,16.158,71.9
318,11.02,13.442,72.0
319,10.95,16.185,71.9
320,11.19,16.457,72.0
321,11.13,16.387,71.9
322,11.06,13.653,71.8
323,11.04,16.369,72.0
324,11.37,16.281,72.1
325,11.07,15.499,72.0
326,11.06,16.255,71.9
327,11.19,16.457,72.0
328,11.12,16.475,71.9
329,11.06,16.431,71.8
330,11.19,16.404,72.0
331,11.20,13.732,72.0
332,11.46,16.229,72.0
333,11.05,16.176,72.0
334,11.54,16.255,71.9
335,11.13,16.281,71.9
336,11.26,16.369,72.1
337,11.17,16.431,71.9
338,11.50,16.167,72.0
339,11.05,13.037,71.9
340,11.22,13.380,72.0
341,11.19,16.466,72.0
342,11.05,16.290,72.0
343,11.05,13.152,72.0
344,11.05,16.220,72.0
345,11.21,14.365,72.1
346,11.04,16.193,72.1
347,11.46,13.222,72.1
348,11.08,16.246,71.9
